,,V1,V2,V3
Freq (Hz),Vin (V),Vout (V),Vout (V),Vout (V)
20,0.236,0.032,0.400,0.648
30,0.236,0.047,0.720,1.440
40,0.236,0.066,1.000,2.040
60,0.236,0.066,2.080,3.240
90,0.236,0.066,2.080,4.480
120,0.236,0.066,2.400,5.280
180,0.236,0.066,2.760,6.040
250,0.236,0.066,2.920,6.480
370,0.236,0.063,3.040,6.800
520,0.236,0.046,3.160,6.880
760,0.236,0.044,3.200,6.960
1090,0.236,0.048,3.160,7.040
1570,0.236,0.051,3.120,7.040
2260,0.236,0.046,3.120,7.040
3247,0.236,0.047,3.040,6.800
4671,0.236,0.046,2.920,6.560
6719,0.236,0.046,2.720,6.000
9665,0.236,0.047,2.400,5.280
13903,0.236,0.046,1.960,4.400
20000,0.236,0.046,1.520,3.280
